Model,Accuracy,Loss
VGG16 Fine-tuned,0.7467300891876221,0.6520669460296631
VGG16,0.6730083227157593,0.7747659683227539
Custom CNN,0.46016645431518555,1.2628281116485596
ResNet50,0.37336504459381104,1.350406289100647
EfficientNetB0,0.23900118470191956,1.4041986465454102
